id,nome,email,data,observacao
1,Ana,ana@email.com,2024-02-29,bissexto valido ISO
2,Bruno,bruno@email.com,2023-02-29,bissexto invalido
3,Caio,caio@email.com,31/04/2024,dia invalido (abril)
4,Duda,duda@email.com,30/04/2024,data valida BR
5,Enzo,enzo@email.com,01/02/2024,ambigua dd/mm ou mm/dd
6,Fernanda,fernanda@email.com,12/11/2024,ambigua dd/mm ou mm/dd
7,Gabi,gabi@email.com,2024/12/31,ISO com barra
8,Hugo,hugo@email.com,12-31-2024,US com hifen
9,Iris,iris@email.com,31-12-2024,BR com hifen
10,Joao,joao@email.com,2024-13-01,mes invalido
11,Karen,karen@email.com,2024-00-10,mes zero
12,Leo,leo@email.com,2024-01-00,dia zero
13,Maya,maya@email.com,2024-01-32,dia invalido
14,Nina,nina@email.com, 2024-05-01 ,com espacos
15,Otto,otto@email.com,,data vazia
16,Paula,paula@email.com,texto qualquer,nao data
17,Quim,quim@email.com,2024-11-07T00:00:00,com timestamp
18,Rita,rita@email.com,07/11/24,ano 2 digitos
19,Sara,sara@email.com,11/07/2024,ambigua dd/mm ou mm/dd
20,Tadeu,tadeu@email.com,07/11/2024,ambigua dd/mm ou mm/dd
21,Pessoa21,pessoa21@email.com,2023-02-29,bissexto invalido repetido
22,Pessoa22,pessoa22@email.com,31/04/2024,dia invalido repetido
23,Pessoa23,pessoa23@email.com,01/02/2024,ambigua repetida
24,Pessoa24,pessoa24@email.com,12/11/2024,ambigua repetida
25,Pessoa25,pessoa25@email.com,2024/08/15,iso barra
26,Pessoa26,pessoa26@email.com,08-15-2024,us hifen
27,Pessoa27,pessoa27@email.com,15-08-2024,br hifen
28,Pessoa28,pessoa28@email.com,,vazia
29,Pessoa29,pessoa29@email.com,nao-e-data,texto
30,Pessoa30,pessoa30@email.com,2024-02-29,bissexto valido repetido
31,Pessoa31,pessoa31@email.com,2023-02-29,bissexto invalido repetido
32,Pessoa32,pessoa32@email.com,31/04/2024,dia invalido repetido
33,Pessoa33,pessoa33@email.com,01/02/2024,ambigua repetida
34,Pessoa34,pessoa34@email.com,12/11/2024,ambigua repetida
35,Pessoa35,pessoa35@email.com,2024/08/15,iso barra
36,Pessoa36,pessoa36@email.com,08-15-2024,us hifen
37,Pessoa37,pessoa37@email.com,15-08-2024,br hifen
38,Pessoa38,pessoa38@email.com,,vazia
39,Pessoa39,pessoa39@email.com,nao-e-data,texto
40,Pessoa40,pessoa40@email.com,2024-02-29,bissexto valido repetido
41,Pessoa41,pessoa41@email.com,2023-02-29,bissexto invalido repetido
42,Pessoa42,pessoa42@email.com,31/04/2024,dia invalido repetido
43,Pessoa43,pessoa43@email.com,01/02/2024,ambigua repetida
44,Pessoa44,pessoa44@email.com,12/11/2024,ambigua repetida
45,Pessoa45,pessoa45@email.com,2024/08/15,iso barra
