nome,email,data,cidade,valor
Pessoa1,pessoa1@email.com,02/02/2024,Cidade2,7
Pessoa2,pessoa2@email.com,03-03-2024,Cidade3,14
Pessoa3,pessoa3@email.com,2024/04/04,Cidade4,21
Pessoa4,pessoa4@email.com,2024-05-05,Cidade5,28
Pessoa5,pessoa5@email.com,06/06/2024,Cidade6,35
Pessoa6,pessoa6@email.com,07-07-2024,Cidade7,42
Pessoa7,pessoa7@email.com,2024/08/08,Cidade8,49
Pessoa8,pessoa8@email.com,2024-09-09,Cidade9,56
Pessoa9,pessoa9@email.com,10/10/2024,Cidade10,63
Pessoa10,pessoa10@email.com,11-11-2024,Cidade11,70
Pessoa11,pessoa11@email.com,2024/12/12,Cidade12,77
Pessoa12,pessoa12@email.com,2024-01-13,Cidade13,84
Pessoa13,pessoa13@email.com,14/02/2024,Cidade14,91
Pessoa14,pessoa14@email.com,03-15-2024,Cidade15,98
Pessoa15,pessoa15@email.com,2024/04/16,Cidade16,105
Pessoa16,pessoa16@email.com,2024-05-17,Cidade17,112
,,,,
Pessoa18,pessoa18@email.com,07-19-2024,Cidade19,126
Pessoa19,pessoa19@email.com,2024/08/20,Cidade20,133
Pessoa20,pessoa20@email.com,2024-09-21,Cidade1,140
Pessoa21,pessoa21@email.com,22/10/2024,Cidade2,147
Pessoa22,pessoa22@email.com,11-23-2024,Cidade3,154
Pessoa22,pessoa22@email.com,2024/12/24,Cidade4,161
Pessoa24,pessoa24@email.com,2024-01-25,Cidade5,168
Pessoa25,pessoa25@email.com,26/02/2024,Cidade6,175
Pessoa26,pessoa26@email.com,03-27-2024,Cidade7,182
Pessoa27,pessoa27@email.com,2024/04/28,Cidade8,189
Pessoa28,pessoa28@email.com,2024-05-01,Cidade9,196
Pessoa29,pessoa29@email.com,02/06/2024,Cidade10,203
Pessoa30,pessoa30@email.com,07-03-2024,Cidade11,210
Pessoa31,pessoa31@email.com,2024/08/04,Cidade12,217
Pessoa32,pessoa32@email.com,2024-09-05,Cidade13,224
Pessoa33,pessoa33@email.com,06/10/2024,Cidade14,231
,,,,
Pessoa35,pessoa35@email.com,2024/12/08,Cidade16,245
Pessoa36,pessoa36@email.com,2024-01-09,Cidade17,252
Pessoa37,pessoa37@email.com,10/02/2024,Cidade18,259
Pessoa38,pessoa38@email.com,03-11-2024,Cidade19,266
Pessoa39,pessoa39@email.com,2024/04/12,Cidade20,273
Pessoa40,pessoa40@email.com,2024-05-13,Cidade1,280
Pessoa41,pessoa41@email.com,01/02/2024,Cidade2,287
Pessoa42,pessoa42@email.com,07-15-2024,Cidade3,294
Pessoa43,pessoa43@email.com,2024/08/16,Cidade4,301
Pessoa44,pessoa44@email.com,2024-09-17,Cidade5,308
Pessoa45,pessoa45@email.com,18/10/2024,Cidade6,315
Pessoa45,pessoa45@email.com,11-19-2024,Cidade7,322
Pessoa47,pessoa47@email.com,2024/12/20,Cidade8,329
Pessoa48,pessoa48@email.com,2024-01-21,Cidade9,336
Pessoa49,pessoa49@email.com,22/02/2024,Cidade10,343
Pessoa50,pessoa50@email.com,03-23-2024,Cidade11,350
,,,,
Pessoa52,pessoa52@email.com,2024-05-25,Cidade13,364
Pessoa53,pessoa53@email.com,26/06/2024,Cidade14,371
Pessoa54,pessoa54@email.com,07-27-2024,Cidade15,378
Pessoa55,pessoa55@email.com,2024/08/28,Cidade16,385
